Title,Link,"Tag (to add more than one, duplicate the row)",Last updated,Content type,Content sub-type,link_title,link_content_id,link_type,Policies,Collections,Withdrawn,12-month timeline,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,Total unique pageviews,Highest month,Lowest month,Monthly average,Monthly median,Recommendation,Redirect/combine with which content url,Notes,Changes live yet?,Status code,Redirecting
Memorandum of understanding between Ofsted and HESC,https://www.gov.uk/government/publications/memorandum-of-understanding-between-ofsted-and-hesc,,14/05/2014,Publication,Corporate report,,,ofsted,,/government/collections/ofsted-memorandums-of-understanding,,,6,11,5,9,3,8,5,5,5,3,4,7,71,11,3,6,5,current - no work needed,,,,200,
Ministerial letter about early years funding for London councils,https://www.gov.uk/government/publications/ministerial-letter-about-early-years-funding-for-london-councils,,16/12/2013,Publication,Correspondence,,,department-for-education,childcare-and-early-education,,,,7,9,8,10,11,7,11,11,4,4,5,3,90,11,3,8,8,out of date - withdraw or redirect to somewhere helpful (if there is no up-to-date equivalent),https://www.gov.uk/government/policies/childcare-and-early-education,This letter is about early years funding in 2013 to 2014. I suggest redirecting to the early years policy page or to a general early years funding topic page if there is going to be one.,Yes,302,https://www.gov.uk/government/policies/childcare-and-early-education
Sarah Teather article in 'Nursery World' on early education and disadvantaged children,https://www.gov.uk/government/speeches/sarah-teather-article-in-nursery-world-on-early-education-and-disadvantaged-children,,24/03/2011,Speech,Speech,,,department-for-education,"education-of-disadvantaged-children, childcare-and-early-education",,,,11,4,5,7,5,4,3,,2,1,4,4,50,11,1,4,4,current - no work needed,,,N/A,200,
Ofsted memorandums of understanding,https://www.gov.uk/government/collections/ofsted-memorandums-of-understanding,,03/12/2014,Document collection,Collection,,,ofsted,,,,,10,8,7,6,3,4,4,7,5,3,4,7,68,10,3,6,6,current - no work needed,,,,200,
Call for evidence for the review of the early years foundation stage,https://www.gov.uk/government/news/call-for-evidence-for-the-review-of-the-early-years-foundation-stage,,02/08/2010,News article,News story,,,department-for-education,looked-after-children-and-adoption,,,,1,2,5,3,2,4,5,7,3,3,6,10,51,10,1,4,4,current - no work needed,,,N/A,200,
WP124 Provider Memo - Free early learning for two year olds,https://www.gov.uk/government/publications/wp124-provider-memo-free-early-learning-for-two-year-olds,,05/07/2012,Publication,Guidance,,,department-for-work-pensions,,/government/collections/work-programme-provider-live-running-memos,,,5,8,,5,3,4,1,5,4,10,4,1,50,10,1,4,4,,,,,200,
Neighbourhood statistics: small area pupil attainment by pupil characteristics in England - 2010,https://www.gov.uk/government/statistics/neighbourhood-statistics-small-area-pupil-attainment-by-pupil-characteristics-in-england-2010,,25/05/2011,Publication,National Statistics,,,department-for-education,,/government/collections/statistics-neighbourhood-absence-and-attainment,,,4,4,3,4,8,6,7,6,9,4,7,10,72,10,3,6,6,current - no work needed,,,N/A,#ERROR!,#ERROR!
Government response to the report on the early years single funding formula,https://www.gov.uk/government/publications/government-response-to-the-children-schools-and-families-committee-report-on-early-years-single-funding-formula,,09/04/2010,Publication,Policy paper,,,department-for-children-schools-and-families,,,,,7,6,6,3,5,8,5,5,2,3,9,10,69,10,2,6,6,duplicate - combine and redirect this item to another item that belongs to a different organisation,https://www.gov.uk/government/publications/government-response-to-the-children-schools-and-families-committee-report-on-early-years-single-funding-formula,The URL in column B doesn't work. Suggest redirecting to the correct URL (in column AB),,200,
Provider influence on the home learning environment: technical report,https://www.gov.uk/government/publications/provider-influence-on-the-home-learning-environment-technical-report,,30/06/2011,Publication,Research and analysis,,,department-for-education,childcare-and-early-education,,,,6,10,10,9,7,4,3,2,3,4,5,1,64,10,1,5,4,duplicate - combine and redirect this item to another item that also belongs to your organisation,https://www.gov.uk/government/publications/provider-influence-on-the-home-learning-environment,The technical report should be added to the where the main publication lives. This will help users interested in this research find all the relevant documents easily. ,Yes,302,https://www.gov.uk/government/publications/provider-influence-on-the-home-learning-environment
Elizabeth Truss speech to the Daycare Trust conference,https://www.gov.uk/government/speeches/elizabeth-truss-speech-to-the-daycare-trust-conference,,06/12/2012,Speech,Speech,,,department-for-education,childcare-and-early-education,,,,9,8,6,10,3,9,10,9,2,2,5,2,75,10,2,6,7,current - no work needed,,,N/A,200,
Nick Gibb to the Specialist Schools and Academies Trust,https://www.gov.uk/government/speeches/nick-gibb-to-the-specialist-schools-and-academies-trust,,23/11/2011,Speech,Speech,,,department-for-education,school-and-college-qualifications-and-curriculum,,,,4,2,5,5,5,6,10,3,4,4,4,7,59,10,2,5,4,not relevant to topic - remove from list,,This isn't about early years. Remove from list.,N/A,200,
Sarah Teather to Daycare Trust annual conference,https://www.gov.uk/government/speeches/sarah-teather-to-daycare-trust-annual-conference,,25/11/2010,Speech,Speech,,,department-for-education,childcare-and-early-education,,,,2,2,10,1,,2,,,,1,,,18,10,1,2,2,current - no work needed,,,N/A,200,
Provision for children under 5 in England: January 2016,https://www.gov.uk/government/statistics/announcements/provision-for-children-under-5-in-england-january-2016,,,Statistics announcement,National Statistics,,,department-for-education,,,,,,,,,,,4,3,1,4,10,3,25,10,1,2,4,current - no work needed,,,N/A,301,/government/statistics/education-provision-children-under-5-years-of-age-january-2016
Press briefing: morning 22 March 2013,https://www.gov.uk/government/news/press-briefing-morning-22-march-2013,,22/03/2013,News article,Press release,,,prime-ministers-office-10-downing-street,"european-single-market, childcare-and-early-education, homebuying, nhs-efficiency, immigration-and-borders, household-energy",,,,,,,,1,,9,1,,2,1,,14,9,1,1,1,,,,,200,
Deputy Prime Minister's speech on early interventions,https://www.gov.uk/government/speeches/deputy-prime-ministers-speech-on-early-interventions,,19/01/2011,Speech,Speech,,,"cabinet-office, deputy-prime-ministers-office","social-mobility, childcare-and-early-education",,,,4,8,4,8,3,7,1,2,6,3,9,8,63,9,1,5,5,,,,,200,
Written ministerial statement by Edward Timpson on Voluntary and Community Sector Prospectus,https://www.gov.uk/government/speeches/written-ministerial-statement-by-edward-timpson-on-voluntary-and-community-sector-prospectus,,12/11/2012,Speech,Statement to Parliament,,,department-for-education,"special-educational-needs-and-disability-send, young-people, looked-after-children-and-adoption, childcare-and-early-education, children-s-social-workers",,,,5,9,9,5,1,2,6,,1,5,1,4,48,9,1,4,5,current - no work needed,,,N/A,200,
More help with childcare costs for working families announced,https://www.gov.uk/government/news/more-help-with-childcare-costs-for-working-families-announced,,19/03/2013,News article,News story,,,deputy-prime-ministers-office,childcare-and-early-education,,,,1,2,3,3,5,8,3,3,,4,4,,36,8,1,3,3,,,,,200,
Prime Minister announces support for families,https://www.gov.uk/government/news/prime-minister-announces-support-for-families--2,,18/05/2012,News article,News story,,,department-for-education,,,,,8,8,4,8,3,4,2,,3,2,,1,43,8,1,4,4,current - no work needed,,,N/A,200,
Ofsted launches consultation on childminder agency inspections,https://www.gov.uk/government/news/ofsted-launches-consultation-on-childminder-agency-inspections,,23/01/2014,News article,Press release,,,ofsted,,,,,3,8,4,,5,1,4,,1,,2,,28,8,1,2,4,current - no work needed,,,,200,
Parents to be given new freedoms to run their local children's centres,https://www.gov.uk/government/news/parents-to-be-given-new-freedoms-to-run-their-local-childrens-centres,,19/09/2011,News article,Press release,,,department-for-education,childcare-and-early-education,,,,6,8,2,5,3,3,1,8,3,8,2,1,50,8,1,4,3,current - no work needed,,,N/A,200,
Teather: parents should have a greater say in their children’s centre,https://www.gov.uk/government/news/teather-parents-should-have-a-greater-say-in-their-childrens-centre,,24/05/2012,News article,Press release,,,department-for-education,childcare-and-early-education,,,,6,8,5,6,6,7,7,7,2,2,4,1,61,8,1,5,6,current - no work needed,,,N/A,200,
EYFSP 2012: guide,https://www.gov.uk/government/publications/early-years-foundation-stage-profile-2012-guide,,24/04/2012,Publication,Guidance,,,department-for-education,childcare-and-early-education,/government/collections/early-years-foundation-stage-profile-return,,,,6,2,1,5,8,1,3,3,3,6,3,41,8,1,3,3,out of date - withdraw or redirect to somewhere helpful (if there is no up-to-date equivalent),https://www.gov.uk/government/collections/early-years-foundation-stage-profile-return,This guide is now more than 3 years old. I suggest redirecting to the document collection that lists guides from the past 3 years. We'll do this in May/June,No,200,
Edward Timpson speaks at the Young Carers' conference,https://www.gov.uk/government/speeches/edward-timpson-speaks-at-the-young-carers-conference,,26/02/2013,Speech,Speech,,,department-for-education,,,,,6,6,8,8,5,8,5,1,2,1,6,3,59,8,1,5,6,not relevant to topic - remove from list,,This isn't about early years. Remove from list.,N/A,200,
Ofsted calls for swift improvement in pre-schools and nurseries,https://www.gov.uk/government/news/ofsted-calls-for-swift-improvement-in-pre-schools-and-nurseries,,02/08/2013,News article,News story,,,ofsted,,,,,3,7,2,5,4,1,2,4,2,4,1,1,36,7,1,3,2,current - no work needed,,,,200,
Sarah Teather responds to the UNICEF report on children's wellbeing,https://www.gov.uk/government/news/sarah-teather-responds-to-the-unicef-report-on-childrens-wellbeing,,14/09/2011,News article,News story,,,department-for-education,"education-of-disadvantaged-children, childcare-and-early-education, children-s-social-workers",,,,4,5,3,4,1,6,,2,,1,7,3,36,7,1,3,4,current - no work needed,,,N/A,200,
Commission calls for views on childcare,https://www.gov.uk/government/news/commission-calls-for-views-on-childcare--2,,19/07/2012,News article,Press release,,,"department-for-education, department-for-work-pensions",childcare-and-early-education,,,,5,3,5,7,4,6,3,,,,1,2,36,7,1,3,4,current - no work needed,,,N/A,200,
More focused inspection to drive improvements in early years,https://www.gov.uk/government/news/more-focused-inspection-to-drive-improvements-in-early-years,,04/09/2012,News article,Press release,,,ofsted,childcare-and-early-education,,,,2,7,5,3,3,3,5,4,2,2,4,2,42,7,2,4,3,current - no work needed,,,,200,
Parents overwhelmingly satisfied with free early education,https://www.gov.uk/government/news/parents-overwhelmingly-satisfied-with-free-early-education,,28/06/2012,News article,Press release,,,department-for-education,childcare-and-early-education,,,,2,2,5,1,7,4,3,1,1,5,6,4,41,7,1,3,4,current - no work needed,,,N/A,200,
Consultation letter on School and Early Years Finance Regulations 2013,https://www.gov.uk/government/publications/consultation-letter-on-school-and-early-years-finance-regulations-2013,,01/08/2013,Publication,Correspondence,,,department-for-education,,,,,3,,3,2,1,7,4,5,,2,3,2,32,7,1,3,3,out of date - withdraw or redirect to somewhere helpful (if there is no up-to-date equivalent),https://www.gov.uk/government/consultations/school-and-early-years-finance-regulations-2013,"This letter is about a consulation that has closed. Anyone looking for information about the consultation should go to the consultation page, so I suggest redirecting there.",Yes,302,https://www.gov.uk/government/consultations/school-and-early-years-finance-regulations-2013
